sgRNA,Gene,initial.count,final.count
208,52,84,383
209,53,51,434
210,53,178,434
211,53,21,40
212,53,48,130
213,54,16,56
214,54,93,411
215,54,143,357
216,54,119,313
217,55,290,693
218,55,360,277
219,55,223,36
220,55,84,192
221,56,274,851
222,56,22,273
223,56,54,35
224,56,45,207
225,57,122,343
226,57,135,181
227,57,171,782
228,57,200,588
229,58,99,178
230,58,148,276
231,58,27,123
232,58,149,647
233,59,81,38
234,59,70,31
235,59,217,1172
236,59,355,827
237,60,32,102
238,60,222,168
239,60,94,225
240,60,278,331
241,61,26,82
242,61,35,99
243,61,112,331
244,61,106,334
245,62,106,755
246,62,81,83
247,62,131,387
248,62,161,24
249,63,227,689
250,63,294,896
251,63,22,180
252,63,87,165
253,64,70,319
254,64,85,295
255,64,259,399
256,64,361,433
257,65,64,400
258,65,114,202
259,65,237,73
260,65,386,601
261,66,410,207
262,66,83,236
263,66,125,120
264,66,67,405
265,67,112,437
266,67,190,439
267,67,16,27
268,67,286,740
269,68,69,439
270,68,66,141
271,68,164,335
272,68,76,37
273,69,137,446
274,69,436,270
275,69,199,132
276,69,237,152
277,70,22,130
278,70,63,90
279,70,28,103
280,70,75,219
281,71,202,175
282,71,73,419
283,71,189,185
284,71,155,122
285,72,140,168
286,72,92,239
287,72,67,40
288,72,269,1159
289,73,112,156
290,73,160,160
291,73,118,499
292,73,60,59
293,74,38,12
294,74,66,227
295,74,219,828
296,74,172,152
297,75,34,202
298,75,39,225
299,75,109,595
300,75,11,188
301,76,74,69
302,76,44,228
303,76,145,216
304,76,41,289
305,77,37,96
306,77,48,157
307,77,162,248
308,77,101,124
309,78,225,379
310,78,89,200
311,78,102,120
312,78,431,1250
313,79,65,574
314,79,78,494
315,79,224,206
316,79,59,70
317,80,48,464
318,80,84,511
319,80,67,279
320,80,104,530
321,81,397,413
322,81,10,125
323,81,36,79
324,81,226,456
325,82,141,438
326,82,104,267
327,82,403,174
328,82,55,81
329,83,357,663
330,83,113,109
331,83,135,303
332,83,14,310
333,84,77,128
334,84,45,156
335,84,125,148
336,84,101,118
337,85,8,20
338,85,170,172
339,85,40,429
340,85,96,307
341,86,75,38
342,86,216,187
343,86,32,233
344,86,118,246
345,87,177,415
346,87,31,174
347,87,118,550
348,87,78,37
349,88,43,59
350,88,76,146
351,88,105,275
352,88,51,31
353,89,134,30
354,89,171,477
355,89,111,285
356,89,40,106
357,90,22,76
358,90,50,113
359,90,159,113
360,90,140,443
361,91,78,211
362,91,273,10
363,91,174,396
364,91,8,44
365,92,70,290
366,92,28,144
367,92,14,212
368,92,144,179
369,93,207,79
370,93,75,168
371,93,60,335
372,93,63,48
373,94,237,830
374,94,139,409
375,94,251,629
376,94,195,436
377,95,333,687
378,95,227,730
379,95,190,705
380,95,92,672
381,96,176,350
382,96,146,78
383,96,165,411
384,96,69,154
385,97,216,738
386,97,219,222
387,97,37,111
388,97,56,9
389,98,54,276
390,98,57,122
391,98,142,909
392,98,39,897
393,99,146,51
394,99,100,734
395,99,71,378
396,99,148,205
397,100,46,107
398,100,47,110
399,100,222,573
400,100,148,100
401,101,358,196
402,101,64,131
403,101,31,4
404,101,197,88
405,102,50,49
406,102,147,227
407,102,84,121
408,102,120,104
409,103,256,279
410,103,52,92
411,103,10,59
412,103,287,734
413,104,0,55
414,104,54,93
415,104,105,89
416,104,275,179
417,105,70,309
418,105,200,344
419,105,43,74
420,105,129,92
421,106,273,237
422,106,144,340
423,106,69,167
424,106,121,312
425,107,187,271
426,107,140,276
427,107,42,174
428,107,117,127
429,108,89,38
430,108,45,81
431,108,206,477
432,108,137,318
433,109,50,248
434,109,69,151
435,109,49,109
436,109,63,88
437,110,103,129
438,110,42,557
439,110,227,232
440,110,77,111
441,111,139,165
442,111,219,204
443,111,146,241
444,111,27,269
445,112,127,149
446,112,216,120
447,112,332,588
448,112,168,140
449,113,170,296
450,113,313,157
451,113,238,428
452,113,176,378
453,114,162,161
454,114,182,156
455,114,47,177
456,114,93,306
457,115,116,209
458,115,67,223
459,115,53,124
460,115,277,363
461,116,85,278
462,116,121,242
463,116,229,258
464,116,165,82
465,117,200,138
466,117,326,461
467,117,12,10
468,117,124,261
469,118,127,321
470,118,63,237
471,118,225,246
472,118,156,139
473,119,158,813
474,119,32,67
475,119,166,46
476,119,33,128
477,120,45,125
478,120,77,192
479,120,163,35
480,120,344,404
481,121,44,10
482,121,197,78
483,121,80,148
484,121,5,61
485,122,158,222
486,122,85,107
487,122,225,476
488,122,186,145
489,123,88,68
490,123,67,64
491,123,337,230
492,123,198,86
493,124,45,159
494,124,51,215
495,124,184,224
496,124,138,172
497,125,153,114
498,125,172,262
499,125,147,217
500,125,109,256
501,126,130,299
502,126,311,390
503,126,114,100
504,126,68,373
505,127,83,162
506,127,198,188
507,127,360,752
508,127,17,35
509,128,159,61
510,128,82,205
511,128,0,0
512,128,64,103
513,129,546,925
514,129,172,110
515,129,214,81
516,129,155,448
517,130,236,248
518,130,109,296
519,130,135,172
520,130,37,86
521,131,133,91
522,131,61,68
523,131,208,155
524,131,131,121
525,132,35,48
526,132,217,334
527,132,158,100
528,132,86,144
529,133,39,129
530,133,185,137
531,133,66,70
532,133,172,307
533,134,20,28
534,134,36,45
535,134,147,391
536,134,186,485
537,135,47,45
538,135,36,135
539,135,103,166
540,135,135,128
541,136,118,419
542,136,84,243
543,136,168,212
544,136,124,250
545,137,44,60
546,137,21,18
547,137,132,56
548,137,165,137
549,138,92,252
550,138,134,368
551,138,21,42
552,138,79,278
553,139,65,215
554,139,84,174
555,139,72,57
556,139,183,149
557,140,195,128
558,140,53,69
559,140,94,12
560,140,53,211
561,141,112,293
562,141,91,120
563,141,248,393
564,141,73,92
565,142,60,47
566,142,84,29
567,142,166,55
568,142,286,375
569,143,163,68
570,143,258,195
571,143,80,19
572,143,47,178
573,144,352,377
574,144,35,188
575,144,75,126
576,144,223,322
577,145,119,324
578,145,247,588
579,145,21,133
580,145,133,161
581,146,85,73
582,146,49,67
583,146,42,25
584,146,252,203
585,147,50,161
586,147,103,323
587,147,92,80
588,147,44,240
589,148,226,105
590,148,40,110
591,148,147,200
592,148,40,60
593,149,12,140
594,149,4,9
595,149,6,218
596,149,102,233
597,150,125,143
598,150,20,7
599,150,222,779
600,150,16,42
601,151,245,65
602,151,216,178
603,151,46,5
604,151,423,118
605,152,32,0
606,152,70,91
607,152,134,66
608,152,145,48
609,153,348,58
610,153,121,117
611,153,94,91
612,153,108,76
613,154,33,0
614,154,154,732
615,154,188,135
616,154,26,30
617,155,49,64
618,155,47,52
619,155,113,53
620,155,21,14
621,156,107,11
622,156,127,184
623,156,64,5
624,156,119,21
625,157,123,79
626,157,128,15
627,157,52,7
628,157,54,3
629,158,141,31
630,158,100,26
631,158,48,0
632,158,89,72
633,159,41,21
634,159,105,94
635,159,178,33
636,159,86,76
637,160,206,25
638,160,62,4
639,160,117,16
640,160,277,180
641,161,78,93
642,161,420,71
643,161,130,75
644,161,186,126
645,162,188,65
646,162,81,0
647,162,0,43
648,162,87,49
649,163,80,8
650,163,195,117
651,163,181,26
652,163,1,2
653,164,144,85
654,164,144,215
655,164,94,58
656,164,174,39
657,165,290,138
658,165,306,59
659,165,99,147
660,165,232,77
661,166,31,8
662,166,86,59
663,166,5,1
664,166,39,29
665,167,220,51
666,167,158,32
667,167,32,21
668,167,33,84
669,168,0,2
670,168,8,28
671,168,63,16
672,168,192,148
673,169,159,9
674,169,302,34
675,169,142,290
676,169,94,128
677,170,154,56
678,170,140,5
679,170,355,154
680,170,87,25
681,171,317,315
682,171,230,344
683,171,122,32
684,171,0,0
685,172,200,116
686,172,190,44
687,172,17,11
688,172,219,137
689,173,336,17
690,173,104,42
691,173,142,128
692,173,130,47
693,174,187,187
694,174,147,3
695,174,141,113
696,174,181,19
697,175,50,51
698,175,316,924
699,175,170,31
700,175,61,2
701,176,26,1
702,176,105,39
703,176,62,40
704,176,41,5
705,177,11,1
706,177,300,107
707,177,111,64
708,177,161,13
709,178,90,8
710,178,89,10
711,178,109,43
712,178,113,61
713,179,44,75
714,179,52,56
715,179,238,61
716,179,97,93
717,180,72,20
718,180,128,8
719,180,24,15
720,180,194,123
721,181,143,467
722,181,310,79
723,181,109,160
724,181,94,94
725,182,111,19
726,182,71,16
727,182,85,92
728,182,56,25
729,183,42,32
730,183,78,5
731,183,106,57
732,183,346,146
733,184,220,167
734,184,243,79
735,184,49,8
736,184,104,7
737,185,109,89
738,185,167,144
739,185,28,7
740,185,185,13
741,186,96,73
742,186,122,25
743,186,107,124
744,186,175,62
745,187,169,420
746,187,143,167
747,187,15,2
748,187,119,163
749,188,37,45
750,188,17,5
751,188,52,40
752,188,77,59
753,189,175,41
754,189,46,4
755,189,52,12
756,189,17,12
757,190,223,152
758,190,74,123
759,190,188,177
760,190,173,59
761,191,159,17
762,191,320,166
763,191,99,8
764,191,67,7
765,192,110,116
766,192,29,9
767,192,42,29
768,192,129,331
769,193,189,1
770,193,144,64
771,193,72,29
772,193,15,14
773,194,162,42
774,194,113,75
775,194,18,59
776,194,184,83
777,195,97,197
778,195,36,19
779,195,86,10
780,195,163,67
781,196,243,84
782,196,39,41
783,196,7,23
784,196,43,36
785,197,48,40
786,197,168,138
787,197,212,80
788,197,45,21
789,198,312,486
790,198,37,19
791,198,126,134
792,198,34,2
793,199,87,17
794,199,38,0
795,199,133,250
796,199,130,12
797,200,36,5
798,200,81,43
799,200,92,80
800,200,206,16
801,201,211,57
802,201,26,0
803,201,76,20
804,201,7,4
805,202,272,10
806,202,57,5
807,202,39,150
808,202,23,22
809,203,177,2
810,203,158,79
811,203,263,35
812,203,22,11
813,204,35,38
814,204,74,4
815,204,91,50
816,204,185,1
817,205,36,34
818,205,185,35
819,205,57,29
820,205,189,272
821,206,129,14
822,206,109,3
823,206,88,35
824,206,192,22
825,207,152,25
826,207,136,30
827,207,83,0
828,207,245,83
829,208,62,2
830,208,122,231
831,208,83,7
832,208,5,0
833,209,60,0
834,209,97,0
835,209,50,0
836,209,221,31
837,210,289,39
838,210,122,0
839,210,154,16
840,210,245,12
841,211,94,36
842,211,76,5
843,211,133,7
844,211,105,6
845,212,40,0
846,212,58,11
847,212,343,29
848,212,193,23
849,213,101,179
850,213,260,108
851,213,177,12
852,213,190,29
853,214,240,33
854,214,132,44
855,214,234,11
856,214,82,102
857,215,209,12
858,215,10,2
859,215,282,31
860,215,112,0
861,216,95,9
862,216,98,8
863,216,307,108
864,216,56,0
865,217,210,134
866,217,95,23
867,217,61,23
868,217,32,103
869,218,80,76
870,218,40,2
871,218,107,14
872,218,119,54
873,219,84,190
874,219,130,37
875,219,209,63
876,219,22,0
877,220,31,21
878,220,75,7
879,220,112,4
880,220,288,250
881,221,369,70
882,221,65,83
883,221,134,58
884,221,8,10
885,222,101,8
886,222,3,4
887,222,45,0
888,222,104,1
889,223,119,2
890,223,418,211
891,223,186,416
892,223,99,0
893,224,20,1
894,224,32,0
895,224,328,34
896,224,178,5
897,225,72,25
898,225,23,16
899,225,90,0
900,225,36,49
901,226,88,0
902,226,43,112
903,226,186,49
904,226,282,6
905,227,64,4
906,227,109,0
907,227,76,36
908,227,303,7
909,228,147,21
910,228,27,7
911,228,111,20
912,228,239,27
913,229,150,43
914,229,48,2
915,229,81,29
916,229,147,55
917,230,78,84
918,230,46,2
919,230,133,111
920,230,146,31
921,231,216,91
922,231,92,88
923,231,27,3
924,231,128,36
925,232,108,251
926,232,102,20
927,232,71,24
928,232,195,14
929,233,41,12
930,233,39,1
931,233,93,42
932,233,69,5
933,234,177,19
934,234,6,16
935,234,61,8
936,234,66,4
937,235,173,133
938,235,386,6
939,235,366,39
940,235,1,0
941,236,48,1
942,236,60,18
943,236,145,3
944,236,142,29
945,237,154,40
946,237,72,13
947,237,37,7
948,237,175,46
949,238,71,0
950,238,5,0
951,238,18,0
952,238,264,49
953,239,84,1
954,239,40,50
955,239,329,66
956,239,135,304
957,240,22,28
958,240,70,129
959,240,128,15
960,240,134,2
961,241,55,132
962,241,134,205
963,241,25,0
964,241,68,0
965,242,146,84
966,242,181,15
967,242,93,41
968,242,36,20
969,243,39,5
970,243,13,0
971,243,101,1
972,243,72,56
973,244,63,5
974,244,38,11
975,244,99,66
976,244,259,11
977,245,154,1
978,245,368,12
979,245,89,1
980,245,142,17
981,246,54,0
982,246,64,0
983,246,363,18
984,246,59,4
985,247,82,47
986,247,147,151
987,247,47,89
988,247,298,16
989,248,208,47
990,248,41,1
991,248,146,22
992,248,65,62
993,249,79,83
994,249,31,14
995,249,35,16
996,249,104,1
997,250,604,46
998,250,28,52
999,250,34,38
1000,250,37,0
1001,251,50,26
1002,251,134,0
1003,251,59,0
1004,251,294,0
1005,252,92,314
1006,252,60,0
1007,252,17,0
1008,252,157,64
1009,253,111,0
1010,253,101,1
1011,253,85,2
1012,253,140,0
1013,254,97,12
1014,254,366,3
1015,254,22,0
1016,254,76,10
1017,255,229,0
1018,255,78,0
1019,255,88,2
1020,255,15,0
1021,256,61,0
1022,256,204,1
1023,256,21,0
1024,256,197,3
1025,257,25,0
1026,257,214,273
1027,257,72,0
1028,257,36,0
1029,258,211,3
1030,258,136,16
1031,258,30,0
1032,258,26,0
1033,259,156,0
1034,259,176,3
1035,259,32,5
1036,259,164,13
1037,260,104,0
1038,260,87,0
1039,260,152,0
1040,260,83,0
1041,261,113,0
1042,261,63,3
1043,261,92,7
1044,261,215,20
1045,262,124,14
1046,262,51,0
1047,262,57,0
1048,262,217,1
1049,263,198,8
1050,263,94,4
1051,263,179,23
1052,263,104,13
1053,264,50,0
1054,264,24,12
1055,264,62,0
1056,264,71,3
1057,265,20,0
1058,265,103,14
1059,265,115,11
1060,265,214,1
1061,266,141,313
1062,266,396,3
1063,266,29,0
1064,266,43,1
1065,267,219,19
1066,267,140,71
1067,267,65,264
1068,267,50,1
1069,268,23,0
1070,268,130,0
1071,268,193,1
1072,268,195,1
1073,269,160,1
1074,269,95,49
1075,269,130,4
1076,269,51,0
1077,270,39,1
1078,270,94,52
1079,270,147,0
1080,270,56,0
1081,271,210,6
1082,271,120,0
1083,271,63,19
1084,271,53,0
1085,272,172,3
1086,272,156,178
1087,272,127,19
1088,272,58,1
1089,273,27,0
1090,273,100,0
1091,273,123,0
1092,273,31,2
1093,274,179,279
1094,274,294,18
1095,274,154,1
1096,274,42,0
1097,275,0,0
1098,275,130,0
1099,275,184,4
1100,275,232,14
1101,276,176,3
1102,276,106,131
1103,276,27,0
1104,276,99,18
1105,277,97,3
1106,277,164,98
1107,277,66,1
1108,277,25,11
1109,278,31,109
1110,278,60,50
1111,278,234,0
1112,278,40,59
1113,279,54,4
1114,279,422,39
1115,279,90,0
1116,279,165,0
1117,280,113,40
1118,280,237,28
1119,280,136,63
1120,280,158,17
1121,281,141,13
1122,281,55,0
1123,281,70,0
1124,281,163,0
1125,282,166,1
1126,282,102,15
1127,282,117,0
1128,282,92,0
1129,283,103,25
1130,283,129,51
1131,283,292,2
1132,283,0,0
1133,284,75,3
1134,284,207,2
1135,284,38,0
1136,284,10,0
1137,285,5,0
1138,285,134,34
1139,285,90,6
1140,285,166,76
1141,286,232,0
1142,286,296,31
1143,286,43,2
1144,286,223,0
1145,287,221,25
1146,287,107,4
1147,287,134,89
1148,287,202,13
1149,288,207,3
1150,288,7,3
1151,288,180,0
1152,288,156,0
1153,289,98,124
1154,289,19,0
1155,289,146,7
1156,289,36,0
1157,290,25,0
1158,290,99,8
1159,290,84,174
1160,290,3,0
1161,291,138,0
1162,291,93,1
1163,291,30,0
1164,291,51,93
1165,292,167,2
1166,292,190,6
1167,292,307,29
1168,292,204,187
1169,293,0,0
1170,293,315,12
1171,293,125,6
1172,293,102,71
1173,294,111,79
1174,294,78,4
1175,294,60,62
1176,294,170,22
1177,295,374,18
1178,295,142,152
1179,295,181,5
1180,295,176,0
1181,296,93,0
1182,296,166,57
1183,296,223,199
1184,296,131,16
1185,297,204,0
1186,297,127,0
1187,297,322,43
1188,297,84,190
1189,298,73,0
1190,298,31,0
1191,298,247,7
1192,298,30,144
1193,299,60,0
1194,299,108,0
1195,299,182,42
1196,299,71,0
1197,300,283,0
1198,300,122,0
1199,300,3,0
1200,300,74,6
1201,301,63,30
1202,301,175,76
1203,301,38,62
1204,301,122,120
1205,302,45,20
1206,302,112,68
1207,302,44,98
1208,302,123,194
1209,303,164,200
1210,303,62,33
1211,303,172,305
1212,303,71,258
1213,304,344,146
1214,304,191,72
1215,304,312,298
1216,304,49,86
1217,305,148,237
1218,305,106,169
1219,305,111,234
1220,305,297,275
1221,306,183,178
1222,306,61,181
1223,306,34,28
1224,306,17,7
1225,307,182,113
1226,307,203,280
1227,307,201,242
1228,307,231,104
1229,308,78,65
1230,308,85,83
1231,308,145,77
1232,308,2,0
1233,309,122,217
1234,309,128,84
1235,309,77,144
1236,309,74,9
1237,310,99,131
1238,310,55,96
1239,310,236,282
1240,310,129,243
1241,311,166,213
1242,311,27,122
1243,311,196,76
1244,311,143,127
1245,312,11,1
1246,312,296,189
1247,312,23,48
1248,312,228,130
1249,313,112,18
1250,313,88,46
1251,313,6,72
1252,313,102,53
1253,314,314,328
1254,314,45,91
1255,314,171,133
1256,314,49,78
1257,315,259,166
1258,315,6,33
1259,315,89,191
1260,315,49,110
1261,316,512,378
1262,316,356,208
1263,316,240,228
1264,316,91,129
1265,317,168,47
1266,317,67,31
1267,317,141,248
1268,317,13,13
1269,318,89,43
1270,318,274,256
1271,318,58,70
1272,318,152,219
1273,319,196,291
1274,319,75,64
1275,319,139,95
1276,319,72,82
1277,320,31,143
1278,320,257,84
1279,320,295,173
1280,320,14,21
1281,321,100,185
1282,321,25,37
1283,321,24,42
1284,321,419,211
1285,322,110,25
1286,322,15,4
1287,322,95,80
1288,322,82,44
1289,323,103,91
1290,323,42,7
1291,323,157,191
1292,323,70,215
1293,324,30,16
1294,324,94,67
1295,324,14,13
1296,324,114,176
1297,325,102,184
1298,325,118,200
1299,325,36,30
1300,325,313,395
1301,326,157,138
1302,326,195,112
1303,326,31,58
1304,326,162,154
1305,327,129,2
1306,327,250,114
1307,327,236,230
1308,327,44,96
1309,328,83,115
1310,328,144,179
1311,328,41,39
1312,328,6,1
1313,329,30,0
1314,329,144,184
1315,329,97,75
1316,329,150,101
1317,330,219,458
1318,330,82,151
1319,330,9,38
1320,330,187,207
1321,331,134,151
1322,331,74,27
1323,331,20,102
1324,331,65,88
1325,332,11,46
1326,332,116,73
1327,332,69,48
1328,332,20,24
1329,333,222,210
1330,333,92,57
1331,333,71,117
1332,333,80,100
1333,334,59,78
1334,334,109,66
1335,334,22,30
1336,334,60,75
1337,335,177,79
1338,335,125,111
1339,335,17,0
1340,335,279,214
1341,336,87,75
1342,336,12,66
1343,336,54,51
1344,336,40,55
1345,337,178,248
1346,337,89,173
1347,337,156,206
1348,337,236,259
1349,338,62,75
1350,338,101,26
1351,338,100,22
1352,338,25,54
1353,339,100,248
1354,339,131,102
1355,339,5,8
1356,339,27,137
1357,340,106,237
1358,340,3,1
1359,340,40,57
1360,340,322,197
1361,341,156,104
1362,341,103,58
1363,341,135,177
1364,341,98,252
1365,342,78,131
1366,342,255,251
1367,342,78,97
1368,342,269,106
1369,343,58,29
1370,343,20,24
1371,343,101,105
1372,343,0,2
1373,344,90,27
1374,344,236,256
1375,344,319,138
1376,344,188,129
1377,345,101,55
1378,345,177,126
1379,345,121,134
1380,345,88,226
1381,346,102,81
1382,346,132,124
1383,346,218,295
1384,346,102,98
1385,347,164,175
1386,347,153,183
1387,347,93,53
1388,347,272,92
1389,348,140,296
1390,348,57,41
1391,348,45,54
1392,348,213,147
1393,349,350,238
1394,349,281,201
1395,349,112,191
1396,349,174,410
1397,350,139,280
1398,350,94,71
1399,350,522,296
1400,350,77,117
1401,351,25,112
1402,351,45,116
1403,351,122,99
1404,351,6,18
1405,352,110,111
1406,352,15,8
1407,352,23,68
1408,352,48,42
1409,353,35,40
1410,353,5,5
1411,353,456,100
1412,353,95,158
1413,354,169,167
1414,354,94,69
1415,354,50,73
1416,354,82,65
1417,355,175,120
1418,355,38,122
1419,355,135,177
1420,355,38,4
1421,356,67,192
1422,356,238,189
1423,356,40,55
1424,356,218,40
1425,357,229,80
1426,357,106,80
1427,357,156,10
1428,357,60,69
1429,358,90,117
1430,358,25,35
1431,358,0,0
1432,358,72,73
1433,359,17,101
1434,359,220,39
1435,359,141,150
1436,359,125,89
1437,360,175,139
1438,360,188,97
1439,360,96,118
1440,360,79,83
1441,361,24,113
1442,361,77,189
1443,361,95,82
1444,361,90,90
1445,362,190,315
1446,362,82,105
1447,362,33,121
1448,362,37,45
1449,363,12,38
1450,363,60,114
1451,363,155,236
1452,363,50,86
1453,364,324,388
1454,364,217,186
1455,364,7,16
1456,364,100,75
1457,365,226,232
1458,365,82,90
1459,365,173,402
1460,365,115,59
1461,366,241,161
1462,366,70,162
1463,366,251,209
1464,366,169,96
1465,367,110,97
1466,367,150,537
1467,367,25,94
1468,367,6,112
1469,368,185,298
1470,368,156,34
1471,368,143,116
1472,368,24,42
1473,369,60,96
1474,369,461,275
1475,369,89,41
1476,369,184,606
1477,370,83,194
1478,370,25,104
1479,370,89,62
1480,370,248,244
1481,371,22,18
1482,371,174,145
1483,371,60,12
1484,371,117,88
1485,372,181,109
1486,372,238,147
1487,372,120,160
1488,372,154,132
1489,373,156,144
1490,373,74,132
1491,373,313,396
1492,373,340,278
1493,374,81,27
1494,374,29,55
1495,374,87,72
1496,374,8,22
1497,375,209,102
1498,375,60,77
1499,375,208,191
1500,375,102,46
1501,376,134,185
1502,376,56,55
1503,376,154,209
1504,376,180,200
1505,377,133,156
1506,377,191,104
1507,377,49,35
1508,377,157,146
1509,378,192,191
1510,378,60,21
1511,378,26,85
1512,378,127,10
1513,379,258,307
1514,379,61,122
1515,379,112,224
1516,379,324,305
1517,380,76,69
1518,380,167,167
1519,380,64,46
1520,380,215,229
1521,381,137,98
1522,381,16,3
1523,381,101,116
1524,381,164,249
1525,382,245,230
1526,382,121,199
1527,382,164,380
1528,382,80,109
1529,383,86,142
1530,383,43,28
1531,383,86,21
1532,383,85,125
1533,384,39,58
1534,384,231,118
1535,384,193,303
1536,384,13,27
1537,385,265,227
1538,385,210,135
1539,385,255,86
1540,385,126,171
1541,386,163,90
1542,386,339,234
1543,386,144,102
1544,386,55,46
1545,387,220,43
1546,387,71,16
1547,387,120,31
1548,387,507,286
1549,388,66,50
1550,388,239,183
1551,388,32,71
1552,388,276,237
1553,389,141,176
1554,389,187,105
1555,389,41,20
1556,389,155,136
1557,390,101,115
1558,390,167,79
1559,390,127,201
1560,390,81,62
1561,391,146,70
1562,391,252,336
1563,391,260,303
1564,391,37,30
1565,392,147,176
1566,392,184,164
1567,392,84,190
1568,392,84,40
1569,393,22,38
1570,393,3,33
1571,393,57,156
1572,393,196,84
1573,394,202,121
1574,394,85,118
1575,394,79,110
1576,394,40,46
1577,395,88,83
1578,395,106,71
1579,395,58,78
1580,395,187,153
1581,396,85,100
1582,396,563,686
1583,396,154,111
1584,396,89,80
1585,397,80,178
1586,397,129,100
1587,397,59,50
1588,397,10,30
1589,398,162,225
1590,398,165,156
1591,398,26,68
1592,398,82,167
1593,399,21,15
1594,399,259,168
1595,399,183,215
1596,399,61,48
1597,400,37,20
1598,400,71,76
1599,400,114,172
1600,400,104,242
1601,401,195,76
1602,401,124,92
1603,401,197,132
1604,401,58,42
1605,402,162,322
1606,402,317,183
1607,402,159,53
1608,402,147,61
1609,403,138,106
1610,403,316,110
1611,403,305,157
1612,403,73,18
1613,404,156,165
1614,404,113,134
1615,404,184,112
1616,404,167,102
1617,405,290,58
1618,405,323,137
1619,405,196,151
1620,405,93,221
1621,406,181,129
1622,406,70,151
1623,406,245,264
1624,406,42,16
1625,407,213,218
1626,407,90,115
1627,407,268,120
1628,407,221,87
1629,408,35,42
1630,408,116,135
1631,408,153,9
1632,408,260,139
1633,409,110,33
1634,409,25,1
1635,409,34,31
1636,409,95,125
1637,410,106,36
1638,410,83,57
1639,410,155,162
1640,410,45,71
1641,411,149,80
1642,411,99,261
1643,411,32,73
1644,411,116,79
1645,412,87,40
1646,412,59,113
1647,412,77,61
1648,412,10,45
1649,413,160,82
1650,413,122,222
1651,413,67,14
1652,413,247,125
1653,414,66,45
1654,414,1,47
1655,414,140,225
1656,414,249,263
1657,415,43,26
1658,415,109,4
1659,415,4,27
